,edge_u,edge_v
0,0,17
1,0,15
2,0,79
3,0,59
4,0,83
5,0,6
6,0,96
7,0,13
8,0,26
9,0,8
10,0,72
11,1,5
12,1,59
13,1,80
14,1,29
15,1,64
16,1,89
17,1,96
18,1,83
19,1,77
20,1,30
21,1,40
22,2,87
23,2,16
24,2,15
25,2,63
26,2,5
27,2,6
28,2,18
29,2,52
30,2,71
31,2,96
32,2,70
33,3,28
34,3,94
35,3,8
36,3,27
37,3,52
38,3,67
39,3,32
40,3,41
41,3,85
42,4,91
43,4,38
44,4,40
45,4,41
46,4,48
47,4,21
48,4,43
49,4,27
50,4,70
51,5,66
52,5,87
53,5,86
54,5,23
55,5,81
56,5,63
57,5,96
58,5,32
59,5,37
60,5,34
61,5,20
62,6,9
63,6,84
64,6,28
65,6,81
66,6,97
67,6,39
68,6,22
69,6,7
70,6,19
71,6,25
72,6,95
73,6,68
74,7,33
75,7,68
76,7,41
77,7,65
78,7,91
79,8,21
80,8,20
81,8,50
82,8,45
83,8,88
84,8,11
85,8,79
86,8,92
87,8,99
88,9,47
89,9,95
90,9,76
91,9,94
92,9,32
93,9,49
94,9,71
95,9,26
96,10,16
97,10,33
98,10,99
99,10,82
100,10,74
101,10,49
102,10,11
103,10,18
104,10,83
105,10,51
106,10,39
107,11,87
108,11,71
109,11,78
110,11,44
111,11,52
112,11,25
113,11,15
114,11,34
115,11,73
116,12,59
117,12,56
118,12,99
119,12,30
120,12,28
121,12,47
122,12,58
123,13,80
124,13,39
125,13,96
126,13,20
127,13,56
128,13,17
129,13,79
130,14,97
131,14,92
132,14,75
133,14,76
134,14,95
135,14,15
136,14,84
137,14,55
138,14,31
139,14,96
140,15,73
141,15,63
142,15,78
143,15,21
144,15,55
145,15,77
146,15,64
147,15,94
148,16,21
149,16,53
150,16,65
151,16,70
152,16,97
153,16,40
154,16,43
155,16,94
156,16,85
157,16,30
158,17,84
159,17,93
160,17,51
161,17,33
162,17,45
163,17,35
164,17,64
165,17,90
166,17,26
167,18,53
168,18,78
169,18,49
170,18,46
171,18,79
172,18,85
173,18,91
174,19,76
175,19,72
176,19,35
177,19,54
178,19,20
179,19,64
180,19,38
181,19,34
182,19,61
183,19,92
184,19,59
185,20,51
186,20,33
187,20,22
188,20,84
189,20,88
190,20,41
191,21,80
192,21,89
193,21,67
194,21,22
