,power
0,0.1252
1,0.1266
2,0.1276
3,0.1088
4,0.1056
5,0.1374
6,0.1538
7,0.0818
8,0.131
9,0.1054
10,0.1216
11,0.1212
12,0.0856
13,0.0984
14,0.1156
15,0.13
16,0.1362
17,0.1246
18,0.1072
19,0.1298
20,0.115
21,0.1252
22,0.1336
23,0.1334
24,0.1
25,0.0702
26,0.1382
27,0.0962
28,0.1744
29,0.099
30,0.112
31,0.0824
32,0.1238
33,0.094
34,0.1472
35,0.0908
36,0.103
37,0.0902
38,0.1198
39,0.128
40,0.1236
41,0.1072
42,0.0938
43,0.117
44,0.0936
45,0.1108
46,0.1698
47,0.0854
48,0.1294
49,0.1232
50,0.1238
51,0.11
52,0.0932
53,0.1316
54,0.0818
55,0.0892
56,0.1254
57,0.0806
58,0.075
59,0.1234
60,0.0888
61,0.0982
62,0.0908
63,0.101
64,0.1906
65,0.1328
66,0.1176
67,0.0984
68,0.1566
69,0.088
70,0.166
71,0.1272
72,0.1198
73,0.1184
74,0.0852
75,0.1078
76,0.1082
77,0.1166
78,0.1216
79,0.1288
80,0.077
81,0.0936
82,0.1068
83,0.1256
84,0.1094
85,0.1286
86,0.1048
87,0.1174
88,0.1198
89,0.081
90,0.1172
91,0.1252
92,0.1232
93,0.113
94,0.1578
95,0.14
96,0.158
97,0.1134
98,0.057
99,0.1488
