,edge_u,edge_v
0,0,4
1,0,71
2,0,5
3,0,14
4,0,82
5,0,33
6,0,42
7,0,95
8,0,56
9,0,18
10,1,69
11,1,9
12,1,70
13,1,39
14,1,51
15,1,61
16,1,68
17,1,31
18,1,93
19,1,16
20,2,96
21,2,53
22,2,15
23,2,45
24,2,85
25,2,35
26,2,91
27,2,72
28,2,90
29,2,87
30,3,10
31,3,47
32,3,21
33,3,55
34,3,74
35,3,77
36,3,41
37,3,66
38,3,57
39,3,75
40,4,5
41,4,82
42,4,0
43,4,33
44,4,18
45,4,42
46,4,71
47,4,20
48,4,14
49,4,57
50,5,82
51,5,33
52,5,4
53,5,0
54,5,18
55,5,42
56,5,8
57,5,71
58,5,14
59,5,20
60,6,98
61,6,50
62,6,13
63,6,39
64,6,29
65,6,78
66,6,40
67,6,69
68,6,51
69,6,83
70,7,97
71,7,48
72,7,11
73,7,28
74,7,24
75,7,8
76,7,19
77,7,49
78,7,20
79,7,82
80,8,33
81,8,82
82,8,5
83,8,24
84,8,42
85,8,4
86,8,28
87,8,89
88,8,48
89,8,7
90,9,1
91,9,70
92,9,68
93,9,69
94,9,93
95,9,16
96,9,62
97,9,61
98,9,51
99,9,75
100,10,3
101,10,47
102,10,55
103,10,74
104,10,21
105,10,75
106,10,41
107,10,77
108,10,66
109,10,57
110,11,48
111,11,7
112,11,97
113,11,24
114,11,28
115,11,19
116,11,49
117,11,8
118,11,76
119,11,20
120,12,58
121,12,26
122,12,92
123,12,68
124,12,52
125,12,49
126,12,93
127,12,76
128,12,75
129,12,20
130,13,40
131,13,29
132,13,98
133,13,6
134,13,50
135,13,39
136,13,83
137,13,59
138,13,51
139,13,78
140,14,71
141,14,95
142,14,56
143,14,42
144,14,89
145,14,0
146,14,33
147,14,4
148,14,5
149,14,82
150,15,53
151,15,35
152,15,96
153,15,85
154,15,72
155,15,91
156,15,2
157,15,30
158,15,22
159,15,45
160,16,70
161,16,68
162,16,52
163,16,9
164,16,26
165,16,58
166,16,12
167,16,93
168,16,1
169,16,76
170,17,36
171,17,73
172,17,64
173,17,43
174,17,32
175,17,34
176,17,67
177,17,80
178,17,95
179,17,88
180,18,20
181,18,4
182,18,5
183,18,82
184,18,41
185,18,0
186,18,33
187,18,57
188,18,92
189,18,66
190,19,49
191,19,76
192,19,97
193,19,11
194,19,52
195,19,7
196,19,26
197,19,58
198,19,28
199,19,48
200,20,18
201,20,92
202,20,28
203,20,4
204,20,82
205,20,5
206,20,41
207,20,55
208,20,57
209,20,33
210,21,77
211,21,3
212,21,10
213,21,23
214,21,47
215,21,74
216,21,55
217,21,60
218,21,63
219,21,65
220,22,30
221,22,27
222,22,72
223,22,38
224,22,35
225,22,91
226,22,85
227,22,15
228,22,86
229,22,46
230,23,77
231,23,81
232,23,63
233,23,21
234,23,65
235,23,60
236,23,25
237,23,54
238,23,59
239,23,44
240,24,48
241,24,7
242,24,8
243,24,11
244,24,28
245,24,97
246,24,33
247,24,82
248,24,5
249,24,4
250,25,59
251,25,81
252,25,54
253,25,83
254,25,40
255,25,63
256,25,23
257,25,94
258,25,44
259,25,13
260,26,58
261,26,52
262,26,12
263,26,76
264,26,49
265,26,68
266,26,92
267,26,16
268,26,19
269,26,97
270,27,86
271,27,22
272,27,30
273,27,38
274,27,46
275,27,72
276,27,35
277,27,91
278,27,94
279,27,44
280,28,7
281,28,97
282,28,20
283,28,24
284,28,48
285,28,11
286,28,18
287,28,82
288,28,8
289,28,5
290,29,40
291,29,13
292,29,39
293,29,6
294,29,98
295,29,51
296,29,63
297,29,65
298,29,50
299,29,61
300,30,22
301,30,38
302,30,72
303,30,91
304,30,46
305,30,27
306,30,35
307,30,15
308,30,85
309,30,44
310,31,78
311,31,69
312,31,39
313,31,1
314,31,50
315,31,6
316,31,98
317,31,70
318,31,9
319,31,29
320,32,34
321,32,64
322,32,36
323,32,17
324,32,84
325,32,43
326,32,73
327,32,80
328,32,95
329,32,99
330,33,82
331,33,5
332,33,42
333,33,8
334,33,4
335,33,0
336,33,71
337,33,14
338,33,89
339,33,18
340,34,64
341,34,32
342,34,36
343,34,17
344,34,43
345,34,80
346,34,73
347,34,84
348,34,67
349,34,99
350,35,72
351,35,85
352,35,15
353,35,53
354,35,96
355,35,91
356,35,2
357,35,30
358,35,22
359,35,45
360,36,17
361,36,32
362,36,34
363,36,64
364,36,73
365,36,43
366,36,80
367,36,67
368,36,95
369,36,84
370,37,66
371,37,57
372,37,41
373,37,84
374,37,47
375,37,79
376,37,3
377,37,90
378,37,10
379,37,0
380,38,46
381,38,30
382,38,22
383,38,44
384,38,27
385,38,91
386,38,54
387,38,72
388,38,94
389,38,35
390,39,6
391,39,29
392,39,98
393,39,50
394,39,69
395,39,13
396,39,78
397,39,51
398,39,40
399,39,1
400,40,13
401,40,29
402,40,98
403,40,6
404,40,83
405,40,59
406,40,25
407,40,63
408,40,39
409,40,50
410,41,57
411,41,66
412,41,47
413,41,37
414,41,18
415,41,10
416,41,55
417,41,3
418,41,4
419,41,0
420,42,89
421,42,33
422,42,14
423,42,56
424,42,71
425,42,5
426,42,95
427,42,82
428,42,0
429,42,4
430,43,80
431,43,67
432,43,64
433,43,88
434,43,17
435,43,34
436,43,36
437,43,32
438,43,73
439,43,99
440,44,46
441,44,54
442,44,60
443,44,38
444,44,91
445,44,81
446,44,30
447,44,25
448,44,23
449,44,59
450,45,2
451,45,53
452,45,96
453,45,85
454,45,87
455,45,15
456,45,35
457,45,99
458,45,72
459,45,90
460,46,38
461,46,44
462,46,54
463,46,30
464,46,91
465,46,94
466,46,22
467,46,60
468,46,27
469,46,81
470,47,3
471,47,10
472,47,41
473,47,66
474,47,55
475,47,57
476,47,21
477,47,37
478,47,74
479,47,77
480,48,24
481,48,11
482,48,7
