,power
0,0.1752
1,0.1308
2,0.141
3,0.1136
4,0.0846
5,0.0734
6,0.1618
7,0.0646
8,0.0824
9,0.1024
10,0.1182
11,0.1434
12,0.0878
13,0.0514
14,0.144
15,0.1356
16,0.102
17,0.1332
18,0.1804
19,0.1196
20,0.1724
21,0.0802
22,0.1552
23,0.1208
24,0.1254
25,0.107
26,0.1448
27,0.1368
28,0.0672
29,0.0592
30,0.0744
31,0.1666
32,0.1554
33,0.144
34,0.1784
35,0.0738
36,0.1192
37,0.119
38,0.0548
39,0.0516
40,0.1248
41,0.1772
42,0.1282
43,0.1946
44,0.1222
45,0.1418
46,0.1868
47,0.1438
48,0.1244
49,0.1342
50,0.1888
51,0.1776
52,0.1594
53,0.1156
54,0.2022
55,0.1486
56,0.1358
57,0.1654
58,0.1262
59,0.157
60,0.2008
61,0.1062
62,0.1102
63,0.0386
64,0.1226
65,0.1804
66,0.1474
67,0.0708
68,0.113
69,0.084
70,0.1234
71,0.061
72,0.1518
73,0.0866
74,0.1222
75,0.1748
76,0.07
77,0.1258
78,0.1782
79,0.1616
80,0.1232
81,0.1224
82,0.0854
83,0.0984
84,0.1064
85,0.192
86,0.1716
87,0.1476
88,0.1938
89,0.1194
90,0.1502
91,0.109
92,0.1126
93,0.143
94,0.1276
95,0.182
96,0.114
97,0.1286
98,0.1254
99,0.114
