,edge_u,edge_v
0,0,43
1,0,23
2,0,85
3,0,22
4,0,71
5,0,47
6,0,31
7,0,1
8,0,45
9,0,8
10,1,18
11,1,43
12,1,0
13,1,89
14,1,31
15,1,45
16,1,71
17,1,23
18,1,47
19,1,85
20,2,16
21,2,30
22,2,45
23,2,37
24,2,31
25,2,60
26,2,81
27,2,71
28,2,51
29,2,63
30,3,65
31,3,10
32,3,28
33,3,33
34,3,75
35,3,50
36,3,49
37,3,72
38,3,26
39,3,78
40,4,46
41,4,33
42,4,73
43,4,66
44,4,10
45,4,95
46,4,48
47,4,75
48,4,3
49,4,86
50,5,84
51,5,15
52,5,17
53,5,20
54,5,21
55,5,9
56,5,93
57,5,62
58,5,94
59,5,32
60,6,74
61,6,82
62,6,49
63,6,50
64,6,68
65,6,77
66,6,67
67,6,87
68,6,69
69,6,75
70,7,59
71,7,83
72,7,55
73,7,69
74,7,85
75,7,87
76,7,23
77,7,22
78,7,68
79,7,67
80,8,47
81,8,23
82,8,85
83,8,86
84,8,83
85,8,7
86,8,0
87,8,43
88,8,89
89,8,59
90,9,20
91,9,93
92,9,56
93,9,12
94,9,84
95,9,17
96,9,5
97,9,26
98,9,94
99,9,78
100,10,33
101,10,3
102,10,65
103,10,48
104,10,28
105,10,57
106,10,44
107,10,72
108,10,75
109,10,4
110,11,39
111,11,14
112,11,32
113,11,27
114,11,24
115,11,58
116,11,70
117,11,76
118,11,79
119,11,21
120,12,56
121,12,93
122,12,9
123,12,20
124,12,78
125,12,36
126,12,26
127,12,52
128,12,72
129,12,84
130,13,34
131,13,38
132,13,62
133,13,53
134,13,14
135,13,64
136,13,21
137,13,94
138,13,32
139,13,67
140,14,32
141,14,11
142,14,13
143,14,39
144,14,21
145,14,34
146,14,27
147,14,64
148,14,70
149,14,62
150,15,5
151,15,84
152,15,21
153,15,32
154,15,17
155,15,62
156,15,20
157,15,94
158,15,93
159,15,9
160,16,2
161,16,60
162,16,30
163,16,37
164,16,45
165,16,97
166,16,31
167,16,81
168,16,51
169,16,63
170,17,94
171,17,84
172,17,62
173,17,20
174,17,5
175,17,21
176,17,9
177,17,82
178,17,74
179,17,13
180,18,1
181,18,29
182,18,89
183,18,43
184,18,0
185,18,31
186,18,45
187,18,71
188,18,47
189,18,23
190,19,41
191,19,36
192,19,12
193,19,93
194,19,56
195,19,52
196,19,9
197,19,78
198,19,20
199,19,72
200,20,9
201,20,93
202,20,84
203,20,17
204,20,5
205,20,56
206,20,12
207,20,94
208,20,26
209,20,62
210,21,62
211,21,32
212,21,94
213,21,13
214,21,17
215,21,14
216,21,5
217,21,84
218,21,15
219,21,11
220,22,85
221,22,23
222,22,92
223,22,7
224,22,71
225,22,40
226,22,0
227,22,55
228,22,81
229,22,43
230,23,85
231,23,47
232,23,22
233,23,0
234,23,43
235,23,8
236,23,7
237,23,83
238,23,59
239,23,71
240,24,27
241,24,58
242,24,39
243,24,11
244,24,88
245,24,70
246,24,76
247,24,79
248,24,14
249,24,32
250,25,98
251,25,63
252,25,40
253,25,51
254,25,79
255,25,92
256,25,35
257,25,64
258,25,70
259,25,76
260,26,78
261,26,72
262,26,28
263,26,56
264,26,65
265,26,52
266,26,49
267,26,50
268,26,3
269,26,9
270,27,24
271,27,58
272,27,39
273,27,11
274,27,70
275,27,76
276,27,88
277,27,79
278,27,14
279,27,32
280,28,65
281,28,50
282,28,49
283,28,3
284,28,26
285,28,72
286,28,74
287,28,78
288,28,6
289,28,75
290,29,18
291,29,1
292,29,91
293,29,89
294,29,43
295,29,31
296,29,45
297,29,0
298,29,60
299,29,2
300,30,2
301,30,16
302,30,37
303,30,51
304,30,63
305,30,81
306,30,45
307,30,31
308,30,60
309,30,98
310,31,45
311,31,71
312,31,37
313,31,2
314,31,81
315,31,30
316,31,43
317,31,0
318,31,51
319,31,16
320,32,14
321,32,11
322,32,21
323,32,13
324,32,39
325,32,15
326,32,62
327,32,27
328,32,24
329,32,94
330,33,10
331,33,4
332,33,3
333,33,48
334,33,66
335,33,65
336,33,75
337,33,46
338,33,95
339,33,57
340,34,64
341,34,38
342,34,53
343,34,13
344,34,55
345,34,92
346,34,40
347,34,67
348,34,14
349,34,25
350,35,79
351,35,63
352,35,98
353,35,76
354,35,70
355,35,25
356,35,51
357,35,39
358,35,58
359,35,30
360,36,52
361,36,12
362,36,56
363,36,78
364,36,72
365,36,26
366,36,93
367,36,9
368,36,65
369,36,20
370,37,81
371,37,51
372,37,71
373,37,30
374,37,45
375,37,31
376,37,2
377,37,40
378,37,63
379,37,92
380,38,53
381,38,34
382,38,64
383,38,55
384,38,13
385,38,67
386,38,92
387,38,62
388,38,59
389,38,40
390,39,27
391,39,11
392,39,58
393,39,24
394,39,70
395,39,76
396,39,79
397,39,14
398,39,32
399,39,35
400,40,92
401,40,51
402,40,25
403,40,81
404,40,64
405,40,98
406,40,37
407,40,63
408,40,34
409,40,22
410,41,19
411,41,93
412,41,12
413,41,15
414,41,5
415,41,84
416,41,9
417,41,20
418,41,54
419,41,56
420,42,97
421,42,60
422,42,16
423,42,30
424,42,2
425,42,91
426,42,35
427,42,63
428,42,88
429,42,37
430,43,0
431,43,23
432,43,85
433,43,71
434,43,22
435,43,1
436,43,47
437,43,31
438,43,45
439,43,8
440,44,57
441,44,48
442,44,10
443,44,52
444,44,72
445,44,3
446,44,65
447,44,33
448,44,78
449,44,36
450,45,31
451,45,71
452,45,37
453,45,2
454,45,81
455,45,30
456,45,51
457,45,43
458,45,16
459,45,0
460,46,4
461,46,73
462,46,33
463,46,86
464,46,96
465,46,66
466,46,95
467,46,75
468,46,10
469,46,48
470,47,8
471,47,23
472,47,85
473,47,0
474,47,83
475,47,43
476,47,86
477,47,7
478,47,22
479,47,89
480,48,57
481,48,10
482,48,44
483,48,33
484,48,3
485,48,4
486,48,65
487,48,46
488,48,72
489,48,28
490,49,50
491,49,74
492,49,6
493,49,82
494,49,77
495,49,28
496,49,68
497,49,75
498,49,87
499,49,65
500,50,49
501,50,6
502,50,74
503,50,77
504,50,28
505,50,82
506,50,75
507,50,68
508,50,87
509,50,65
510,51,81
511,51,40
512,51,37
513,51,25
514,51,63
515,51,98
516,51,92
517,51,71
518,51,30
519,51,35
520,52,72
521,52,78
522,52,36
523,52,26
524,52,56
525,52,65
526,52,12
527,52,28
528,52,3
529,52,44
530,53,38
531,53,34
532,53,55
533,53,64
534,53,67
535,53,13
536,53,62
537,53,59
538,53,94
539,53,68
540,54,99
541,54,90
542,54,80
543,54,15
544,54,24
545,54,27
546,54,32
547,54,11
548,54,41
549,54,58
550,55,53
551,55,38
552,55,67
553,55,59
554,55,7
555,55,34
556,55,64
557,55,68
558,55,87
559,55,69
560,56,12
561,56,78
562,56,26
563,56,9
564,56,72
565,56,20
566,56,93
567,56,52
568,56,36
569,56,28
570,57,48
571,57,44
572,57,10
573,57,33
574,57,3
575,57,4
576,57,65
577,57,72
578,57,52
579,57,78
580,58,27
581,58,24
582,58,39
583,58,70
584,58,76
585,58,88
586,58,11
587,58,79
588,58,35
589,58,14
590,59,7
591,59,83
592,59,87
593,59,69
594,59,68
595,59,55
596,59,67
597,59,77
598,59,53
599,59,85
600,60,16
601,60,2
602,60,97
603,60,30
604,60,42
605,60,91
606,60,45
607,60,31
608,60,37
609,60,81
610,61,96
611,61,89
612,61,86
613,61,73
614,61,46
615,61,8
616,61,4
617,61,47
618,61,18
619,61,1
620,62,94
621,62,21
622,62,17
623,62,13
624,62,53
625,62,82
626,62,38
627,62,67
628,62,84
629,62,34
630,63,98
631,63,35
632,63,25
633,63,79
634,63,51
635,63,76
636,63,70
637,63,40
638,63,37
639,63,30
640,64,34
641,64,38
642,64,53
643,64,92
644,64,40
645,64,13
646,64,55
647,64,25
648,64,51
649,64,14
650,65,3
651,65,28
652,65,72
653,65,26
654,65,78
655,65,10
656,65,50
657,65,49
658,65,52
659,65,75
660,66,95
661,66,75
662,66,77
663,66,69
664,66,87
665,66,83
666,66,68
667,66,50
668,66,49
669,66,3
670,67,68
671,67,55
672,67,53
673,67,82
674,67,6
675,67,38
676,67,74
677,67,59
678,67,87
679,67,69
680,68,87
681,68,69
682,68,77
683,68,6
684,68,67
685,68,59
686,68,74
687,68,82
688,68,49
689,68,50
690,69,87
691,69,68
692,69,59
693,69,77
694,69,83
695,69,95
696,69,7
697,69,75
698,69,66
699,69,67
700,70,76
701,70,79
702,70,35
703,70,39
704,70,58
705,70,98
706,70,27
707,70,63
708,70,25
709,70,24
710,71,81
711,71,31
712,71,45
713,71,37
714,71,51
715,71,22
716,71,92
717,71,40
718,71,0
719,71,43
720,72,78
721,72,26
722,72,52
723,72,65
724,72,56
725,72,28
726,72,3
727,72,36
728,72,12
729,72,10
730,73,46
731,73,86
732,73,96
733,73,4
734,73,66
735,73,95
736,73,8
737,73,33
738,73,75
739,73,83
740,74,6
741,74,82
742,74,49
743,74,50
744,74,68
745,74,67
746,74,77
747,74,28
748,74,94
749,74,87
750,75,77
751,75,66
752,75,95
753,75,50
754,75,69
755,75,49
756,75,87
757,75,68
758,75,6
759,75,3
760,76,70
761,76,79
762,76,35
763,76,39
764,76,58
765,76,98
766,76,63
767,76,27
768,76,25
769,76,24
770,77,75
771,77,68
772,77,87
773,77,69
774,77,50
775,77,49
776,77,6
777,77,95
778,77,66
779,77,74
780,78,72
781,78,26
782,78,52
783,78,56
784,78,65
785,78,28
786,78,12
787,78,3
788,78,36
789,78,9
790,79,70
791,79,76
792,79,35
793,79,98
794,79,63
795,79,25
796,79,39
797,79,58
798,79,27
799,79,51
800,80,90
801,80,54
802,80,99
803,80,24
804,80,88
805,80,27
806,80,58
807,80,11
808,80,39
809,80,32
810,81,37
811,81,51
812,81,71
813,81,40
814,81,92
815,81,45
816,81,31
817,81,25
818,81,30
819,81,63
820,82,74
821,82,6
822,82,49
823,82,50
824,82,67
825,82,68
826,82,94
827,82,77
828,82,87
829,82,62
830,83,59
831,83,7
832,83,69
833,83,87
834,83,68
835,83,95
836,83,85
837,83,77
838,83,55
839,83,8
840,84,5
841,84,17
842,84,20
843,84,9
844,84,15
845,84,93
846,84,21
847,84,94
848,84,62
849,84,12
850,85,23
851,85,22
852,85,47
853,85,7
854,85,0
855,85,8
856,85,43
857,85,83
858,85,59
859,85,55
860,86,96
861,86,73
862,86,8
863,86,47
864,86,46
865,86,95
866,86,83
867,86,89
868,86,66
869,86,23
870,87,69
871,87,68
872,87,59
873,87,77
874,87,83
875,87,95
876,87,7
877,87,75
878,87,67
879,87,6
880,88,58
881,88,24
882,88,27
883,88,76
884,88,70
885,88,39
886,88,79
887,88,35
888,88,11
889,88,63
890,89,47
891,89,8
892,89,1
893,89,96
894,89,86
895,89,43
896,89,0
897,89,23
898,89,18
899,89,85
900,90,80
901,90,99
902,90,54
903,90,24
904,90,88
905,90,27
906,90,58
907,90,11
908,90,39
909,90,15
910,91,60
911,91,16
912,91,97
913,91,42
914,91,2
915,91,30
916,91,45
917,91,29
918,91,31
919,91,18
920,92,40
921,92,64
922,92,51
923,92,81
924,92,25
925,92,22
926,92,34
927,92,71
928,92,38
929,92,37
930,93,9
931,93,12
932,93,20
933,93,56
934,93,84
935,93,5
936,93,17
937,93,26
938,93,78
939,93,15
940,94,62
941,94,17
942,94,21
943,94,82
944,94,13
945,94,74
946,94,67
947,94,84
948,94,53
949,94,6
950,95,66
951,95,75
952,95,77
953,95,69
954,95,87
955,95,83
956,95,68
957,95,59
958,95,50
959,95,49
960,96,86
961,96,73
962,96,8
963,96,46
964,96,89
965,96,47
966,96,4
967,96,95
968,96,66
969,96,83
970,97,42
971,97,60
972,97,16
973,97,30
974,97,2
975,97,91
976,97,35
977,97,63
978,97,37
979,97,98
980,98,63
981,98,25
982,98,35
983,98,79
984,98,51
985,98,70
986,98,76
987,98,40
988,98,81
989,98,37
990,99,54
991,99,90
992,99,80
993,99,24
994,99,15
995,99,41
996,99,27
997,99,88
998,99,11
999,99,58
