,power
0,0.1784
1,0.0838
2,0.0982
3,0.101
4,0.1008
5,0.0474
6,0.1684
7,0.1554
8,0.0998
9,0.1094
10,0.0484
11,0.191
12,0.1876
13,0.0828
14,0.1252
15,0.161
16,0.1664
17,0.0948
18,0.0538
19,0.1744
20,0.1588
21,0.1586
22,0.0478
23,0.11
24,0.078
25,0.0802
26,0.1158
27,0.1356
28,0.1214
29,0.08
30,0.135
31,0.0872
32,0.0916
33,0.102
34,0.1988
35,0.1762
36,0.05
37,0.0914
38,0.0918
39,0.1584
40,0.1104
41,0.1912
42,0.161
43,0.0764
44,0.152
45,0.1134
46,0.157
47,0.168
48,0.111
49,0.1338
50,0.172
51,0.1974
52,0.0914
53,0.1532
54,0.1464
55,0.1232
56,0.1066
57,0.1066
58,0.0492
59,0.1068
60,0.189
61,0.124
62,0.189
63,0.127
64,0.1224
65,0.1516
66,0.1704
67,0.0728
68,0.1272
69,0.153
70,0.0608
71,0.1042
72,0.175
73,0.144
74,0.1436
75,0.122
76,0.1052
77,0.0754
78,0.2128
79,0.0572
80,0.1772
81,0.156
82,0.0768
83,0.0626
84,0.194
85,0.0474
86,0.138
87,0.0454
88,0.1468
89,0.092
90,0.2282
91,0.1386
92,0.078
93,0.1284
94,0.0842
95,0.0758
96,0.0824
97,0.1102
98,0.0618
99,0.1796
