,edge_u,edge_v
0,0,4
1,0,6
2,0,11
3,0,14
4,0,18
5,0,22
6,0,31
7,0,32
8,0,36
9,0,37
10,0,80
11,0,97
12,1,4
13,1,5
14,1,7
15,1,8
16,1,10
17,1,15
18,1,16
19,1,17
20,1,18
21,1,23
22,1,27
23,1,43
24,1,48
25,1,55
26,1,69
27,1,81
28,1,83
29,1,91
30,1,93
31,2,4
32,2,5
33,2,6
34,2,9
35,2,11
36,2,12
37,2,18
38,2,24
39,2,28
40,2,41
41,2,69
42,2,73
43,2,90
44,2,95
45,3,4
46,3,5
47,3,7
48,3,9
49,3,14
50,3,16
51,3,17
52,3,35
53,3,44
54,3,59
55,3,78
56,3,85
57,3,88
58,3,98
59,4,5
60,4,6
61,4,7
62,4,8
63,4,9
64,4,10
65,4,12
66,4,13
67,4,14
68,4,15
69,4,17
70,4,18
71,4,19
72,4,20
73,4,24
74,4,26
75,4,30
76,4,35
77,4,39
78,4,47
79,4,52
80,4,53
81,4,57
82,4,59
83,4,60
84,4,61
85,4,62
86,4,63
87,4,70
88,4,72
89,4,76
90,4,78
91,4,83
92,4,85
93,4,89
94,4,90
95,5,6
96,5,7
97,5,8
98,5,9
99,5,10
100,5,11
101,5,17
102,5,25
103,5,26
104,5,29
105,5,32
106,5,35
107,5,37
108,5,40
109,5,49
110,5,50
111,5,52
112,5,54
113,5,56
114,5,59
115,5,63
116,5,66
117,5,80
118,5,99
119,6,10
120,6,13
121,6,14
122,6,20
123,6,21
124,6,33
125,6,34
126,6,37
127,6,42
128,6,43
129,6,45
130,6,64
131,6,94
132,7,8
133,7,16
134,7,20
135,7,21
136,7,22
137,7,27
138,7,29
139,7,30
140,7,39
141,7,42
142,7,52
143,7,54
144,7,55
145,7,56
146,7,72
147,7,89
148,7,98
149,7,99
150,8,12
151,8,15
152,8,55
153,9,11
154,9,13
155,9,23
156,9,24
157,9,27
158,9,38
159,9,49
160,9,65
161,10,12
162,10,19
163,10,24
164,10,25
165,10,28
166,10,47
167,10,56
168,10,79
169,11,28
170,11,29
171,11,32
172,11,36
173,11,37
174,11,44
175,11,62
176,11,65
177,11,71
178,11,79
179,11,91
180,11,92
181,11,97
182,12,13
183,12,15
184,12,16
185,12,19
186,12,30
187,12,34
188,12,35
189,12,78
190,12,79
191,12,86
192,12,94
193,12,95
194,13,21
195,13,26
196,13,27
197,13,41
198,13,54
199,13,55
200,13,57
201,13,60
202,13,66
203,13,68
204,13,80
205,13,93
206,14,20
207,14,40
208,14,58
209,14,92
210,14,96
211,15,19
212,15,22
213,15,31
214,15,32
215,15,33
216,15,57
217,15,60
218,15,67
219,15,73
220,15,77
221,15,82
222,16,21
223,16,26
224,16,38
225,16,45
226,16,46
227,16,52
228,16,71
229,17,38
230,17,41
231,17,76
232,18,22
233,18,23
234,18,25
235,18,31
236,18,46
237,18,50
238,18,51
239,18,58
240,18,61
241,18,66
242,18,67
243,18,70
244,18,77
245,18,85
246,18,97
247,18,99
248,19,30
249,19,45
250,20,88
251,20,92
252,21,23
253,21,46
254,21,51
255,21,72
256,22,61
257,23,25
258,23,42
259,23,53
260,23,58
261,23,75
262,23,96
263,24,29
264,24,44
265,25,72
266,25,89
267,25,94
268,26,74
269,27,28
270,27,39
271,27,42
272,27,71
273,27,87
274,27,91
275,28,36
276,28,50
277,28,77
278,28,93
279,29,31
280,29,34
281,29,38
282,29,41
283,29,43
284,29,46
285,29,53
286,29,57
287,29,61
288,29,64
289,29,67
290,29,75
291,29,86
292,29,87
293,29,88
294,29,90
295,29,95
296,30,66
297,31,33
298,31,34
299,31,43
300,31,53
301,31,84
302,31,96
303,32,33
304,32,40
305,32,70
306,32,97
307,33,48
308,34,47
309,34,51
310,35,36
311,35,81
312,35,86
313,36,81
314,36,83
315,36,89
316,37,39
317,37,40
318,37,45
319,37,48
320,37,64
321,37,77
322,37,84
323,37,90
324,37,91
325,38,51
326,38,82
327,39,50
328,40,62
329,41,44
330,41,62
331,41,69
332,41,86
333,41,87
334,41,95
335,41,99
336,42,47
337,42,48
338,42,49
339,43,70
340,43,75
341,43,81
342,44,74
343,45,49
344,45,56
345,45,73
346,46,54
347,46,69
348,46,73
349,47,65
350,47,98
351,48,58
352,48,71
353,48,75
354,48,83
355,48,96
356,49,60
357,50,63
358,51,82
359,52,59
360,56,68
361,56,78
362,57,63
363,58,76
364,59,64
365,59,79
366,60,65
367,60,68
368,61,82
369,61,94
370,62,74
371,63,67
372,63,76
373,66,68
374,68,84
375,70,74
376,71,84
377,73,85
378,74,80
379,75,93
380,76,92
381,76,98
382,79,87
383,87,88
