,power
0,0.0956
1,0.177
2,0.175
3,0.1212
4,0.1576
5,0.2162
6,0.153
7,0.1336
8,0.2172
9,0.128
10,0.3108
11,0.3198
12,0.336
13,0.2628
14,0.3256
15,0.2694
16,0.2968
17,0.2396
18,0.2068
19,0.1784
20,0.1948
21,0.1764
22,0.228
23,0.165
24,0.193
25,0.1488
26,0.1934
27,0.167
28,0.1616
29,0.1118
30,0.1974
31,0.1434
32,0.1488
33,0.1148
34,0.143
35,0.1392
36,0.14
37,0.1478
38,0.1246
39,0.1704
40,0.1734
41,0.1436
42,0.18
43,0.1196
44,0.1266
45,0.1242
46,0.143
47,0.1328
48,0.1348
49,0.1186
50,0.1224
51,0.1178
52,0.1104
53,0.108
54,0.101
55,0.1106
56,0.1178
57,0.1262
58,0.1014
59,0.1126
60,0.1216
61,0.1152
62,0.1086
63,0.0994
64,0.1248
65,0.1252
66,0.1242
67,0.1052
68,0.1012
69,0.1464
70,0.0974
71,0.1094
72,0.141
73,0.1016
74,0.1028
75,0.1066
76,0.1074
77,0.108
78,0.089
79,0.102
80,0.1002
81,0.0964
82,0.0984
83,0.0926
84,0.0996
85,0.1112
86,0.1066
87,0.0968
88,0.095
89,0.089
90,0.0876
91,0.0932
92,0.0914
93,0.0878
94,0.0954
95,0.0986
96,0.0944
97,0.093
98,0.0884
99,0.0928
