,edge_u,edge_v
0,0,99
1,0,2
2,0,98
3,0,3
4,0,97
5,0,4
6,0,5
7,0,45
8,0,49
9,0,64
10,0,8
11,0,52
12,1,2
13,1,99
14,1,4
15,1,98
16,1,6
17,1,96
18,1,93
19,1,49
20,1,63
21,2,3
22,2,4
23,2,99
24,2,6
25,2,98
26,2,7
27,2,29
28,2,86
29,3,4
30,3,5
31,3,6
32,3,7
33,3,99
34,3,8
35,3,70
36,3,16
37,4,7
38,4,8
39,4,9
40,4,20
41,4,83
42,5,6
43,5,7
44,5,8
45,5,9
46,5,10
47,5,18
48,5,14
49,6,7
50,6,8
51,6,9
52,6,10
53,6,11
54,7,8
55,7,9
56,7,10
57,7,11
58,7,74
59,8,10
60,8,13
61,8,77
62,8,37
63,8,25
64,8,20
65,8,31
66,8,41
67,9,10
68,9,11
69,9,12
70,9,13
71,9,14
72,9,70
73,10,11
74,10,12
75,10,13
76,10,14
77,10,15
78,10,97
79,11,12
80,11,15
81,11,16
82,11,59
83,11,96
84,12,13
85,12,15
86,12,17
87,12,88
88,12,20
89,12,18
90,12,90
91,13,15
92,13,16
93,13,17
94,13,81
95,13,27
96,13,65
97,13,37
98,13,97
99,14,15
100,14,16
101,14,19
102,14,90
103,14,35
104,15,16
105,15,17
106,15,18
107,15,19
108,15,20
109,16,17
110,16,19
111,16,20
112,16,21
113,17,18
114,17,21
115,17,23
116,17,87
117,17,32
118,17,45
119,18,19
120,18,20
121,18,22
122,18,23
123,19,20
124,19,21
125,19,22
126,19,23
127,19,24
128,20,21
129,20,22
130,20,25
131,20,67
132,21,22
133,21,25
134,21,26
135,21,52
136,21,40
137,21,44
138,22,24
139,22,25
140,22,26
141,22,79
142,22,50
143,22,54
144,23,24
145,23,25
146,23,26
147,23,27
148,23,28
149,24,27
150,24,28
151,24,29
152,24,39
153,24,90
154,24,60
155,25,26
156,25,27
157,25,28
158,25,29
159,25,30
160,25,56
161,26,28
162,26,29
163,26,31
164,26,57
165,26,56
166,26,83
167,27,31
168,27,32
169,27,33
170,27,48
171,28,31
172,28,32
173,28,33
174,28,63
175,28,52
176,28,76
177,28,53
178,28,97
179,29,30
180,29,31
181,29,32
182,29,33
183,29,63
184,30,31
185,30,33
186,30,34
187,30,35
188,30,96
189,30,54
190,31,32
191,31,33
192,31,34
193,31,35
194,31,73
195,32,33
196,32,34
197,32,35
198,32,36
199,32,37
200,32,52
201,33,34
202,33,35
203,33,36
204,33,37
205,33,97
206,34,35
207,34,36
208,34,37
209,34,38
210,34,39
211,34,77
212,34,45
213,35,36
214,35,37
215,35,38
216,35,94
217,35,55
218,36,37
219,36,39
220,36,40
221,36,41
222,36,89
223,37,39
224,37,40
225,37,43
226,38,39
227,38,40
228,38,41
229,38,42
230,38,43
231,39,41
232,39,42
233,39,43
234,39,44
235,39,71
236,40,41
237,40,42
238,40,43
239,40,44
240,40,45
241,41,42
242,41,43
243,41,45
244,41,89
245,41,52
246,42,43
247,42,44
248,42,46
249,42,47
250,42,96
251,42,80
252,43,44
253,43,45
254,43,47
255,43,48
256,43,61
257,43,78
258,43,98
259,44,45
260,44,46
261,44,47
262,44,48
263,45,46
264,45,47
265,45,71
266,45,52
267,46,47
268,46,48
269,46,49
270,46,50
271,46,51
272,47,48
273,47,49
274,47,50
275,47,51
276,47,52
277,48,49
278,48,50
279,48,51
280,48,52
281,48,53
282,49,51
283,49,52
284,49,53
285,49,54
286,50,51
287,50,52
288,50,53
289,50,55
290,51,52
291,51,53
292,51,54
293,51,55
294,51,56
295,51,92
296,52,54
297,52,96
298,53,54
299,53,56
300,53,57
301,53,86
302,53,76
303,54,55
304,54,57
305,54,59
306,54,70
307,54,86
308,55,57
309,55,58
310,55,59
311,55,60
312,55,66
313,56,57
314,56,58
315,56,60
316,56,83
317,57,58
318,57,59
319,57,60
320,57,61
321,57,62
322,57,95
323,58,59
324,58,60
325,58,61
326,58,62
327,58,63
328,59,60
329,59,61
330,59,63
331,59,64
332,59,77
333,60,61
334,60,62
335,60,63
336,60,64
337,61,62
338,61,63
339,61,64
340,61,66
341,61,99
342,62,63
343,62,64
344,62,65
345,62,66
346,62,67
347,63,64
348,63,65
349,63,67
350,63,97
351,64,66
352,64,67
353,64,68
354,64,69
355,65,66
356,65,67
357,65,69
358,65,70
359,65,84
360,66,68
361,66,69
362,66,70
363,66,71
364,66,89
365,66,80
366,66,95
367,66,99
368,67,68
369,67,69
370,67,70
371,67,72
372,68,69
373,68,70
374,68,71
375,68,72
376,68,73
377,69,70
378,69,71
379,69,72
380,69,73
381,69,74
382,70,73
383,70,74
384,70,75
385,70,89
386,71,72
387,71,74
388,71,75
389,71,76
390,71,87
391,72,73
392,72,74
393,72,75
394,72,76
395,72,77
396,73,74
397,73,75
398,73,77
399,73,88
400,74,75
401,74,76
402,74,77
403,74,78
404,74,79
405,74,84
406,75,76
407,75,77
408,75,78
409,75,79
410,75,80
411,76,78
412,76,79
413,76,80
414,76,81
415,77,79
416,77,80
417,77,81
418,77,84
419,78,79
420,78,80
421,78,82
422,78,83
423,79,80
424,79,81
425,79,82
426,79,83
427,79,84
428,80,81
429,80,82
430,80,83
431,80,84
432,81,82
433,81,83
434,81,85
435,81,86
436,81,98
437,82,83
438,82,84
439,82,85
440,82,86
441,82,87
442,83,84
443,83,85
444,83,86
445,83,87
446,84,85
447,84,87
448,84,88
449,84,89
450,84,92
451,85,86
452,85,87
453,85,88
454,85,89
455,85,90
456,86,87
457,86,90
458,86,91
459,86,93
460,87,88
461,87,89
462,87,90
463,87,91
464,87,92
465,88,89
466,88,90
467,88,91
468,88,92
469,88,93
470,89,91
471,89,92
472,89,93
473,90,91
474,90,92
475,90,93
476,90,94
477,91,92
478,91,93
479,91,94
480,91,95
481,91,96
482,92,94
483,92,95
484,92,97
485,93,94
486,93,95
487,93,96
488,93,98
489,94,96
490,94,97
491,94,98
492,94,99
493,95,96
494,95,98
495,95,99
496,96,97
497,96,99
498,97,98
499,98,99
