,power
0,0.116
1,0.1294
2,0.1154
3,0.1266
4,0.119
5,0.1148
6,0.1206
7,0.15
8,0.1366
9,0.1258
10,0.1468
11,0.1184
12,0.1124
13,0.1038
14,0.1148
15,0.121
16,0.1258
17,0.152
18,0.1182
19,0.1306
20,0.1294
21,0.1208
22,0.1098
23,0.117
24,0.1192
25,0.1158
26,0.115
27,0.1176
28,0.131
29,0.128
30,0.1312
31,0.1306
32,0.1488
33,0.1386
34,0.132
35,0.14
36,0.1292
37,0.124
38,0.1142
39,0.1036
40,0.1246
41,0.1076
42,0.1162
43,0.1272
44,0.1376
45,0.1356
46,0.1174
47,0.1196
48,0.1358
49,0.1272
50,0.1268
51,0.123
52,0.1244
53,0.1654
54,0.1032
55,0.1102
56,0.1272
57,0.1332
58,0.1294
59,0.1252
60,0.1112
61,0.1162
62,0.136
63,0.1202
64,0.1176
65,0.1262
66,0.1286
67,0.1324
68,0.1262
69,0.1274
70,0.1288
71,0.1176
72,0.1202
73,0.1288
74,0.1348
75,0.1272
76,0.0996
77,0.1254
78,0.1274
79,0.1256
80,0.122
81,0.122
82,0.1152
83,0.143
84,0.129
85,0.1266
86,0.148
87,0.1276
88,0.124
89,0.1194
90,0.1304
91,0.1248
92,0.1252
93,0.1274
94,0.1184
95,0.1196
96,0.1432
97,0.1448
98,0.1412
99,0.126
