,edge_u,edge_v
0,0,10
1,0,11
2,0,12
3,0,13
4,0,14
5,0,15
6,0,16
7,0,17
8,0,18
9,0,19
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,2,10
21,2,11
22,2,12
23,2,13
24,2,14
25,2,15
26,2,16
27,2,17
28,2,18
29,2,19
30,3,10
31,3,11
32,3,12
33,3,13
34,3,14
35,3,15
36,3,16
37,3,17
38,3,18
39,3,19
40,4,10
41,4,11
42,4,12
43,4,13
44,4,14
45,4,15
46,4,16
47,4,17
48,4,18
49,4,19
50,5,10
51,5,11
52,5,12
53,5,13
54,5,14
55,5,15
56,5,16
57,5,17
58,5,18
59,5,19
60,6,10
61,6,11
62,6,12
63,6,13
64,6,14
65,6,15
66,6,16
67,6,17
68,6,18
69,6,19
70,7,10
71,7,11
72,7,12
73,7,13
74,7,14
75,7,15
76,7,16
77,7,17
78,7,18
79,7,19
80,8,10
81,8,11
82,8,12
83,8,13
84,8,14
85,8,15
86,8,16
87,8,17
88,8,18
89,8,19
90,9,10
91,9,11
92,9,12
93,9,13
94,9,14
95,9,15
96,9,16
97,9,17
98,9,18
99,9,19
100,10,20
101,10,21
102,10,22
103,10,23
104,10,24
105,10,25
106,10,26
107,10,27
108,10,28
109,10,29
110,11,20
111,11,21
112,11,22
113,11,23
114,11,24
115,11,25
116,11,26
117,11,27
118,11,28
119,11,29
120,12,20
121,12,21
122,12,22
123,12,23
124,12,24
125,12,25
126,12,26
127,12,27
128,12,28
129,12,29
130,13,20
131,13,21
132,13,22
133,13,23
134,13,24
135,13,25
136,13,26
137,13,27
138,13,28
139,13,29
140,14,20
141,14,21
142,14,22
143,14,23
144,14,24
145,14,25
146,14,26
147,14,27
148,14,28
149,14,29
150,15,20
151,15,21
152,15,22
153,15,23
154,15,24
155,15,25
156,15,26
157,15,27
158,15,28
159,15,29
160,16,20
161,16,21
162,16,22
163,16,23
164,16,24
165,16,25
166,16,26
167,16,27
168,16,28
169,16,29
170,17,20
171,17,21
172,17,22
173,17,23
174,17,24
175,17,25
176,17,26
177,17,27
178,17,28
179,17,29
180,18,20
181,18,21
182,18,22
183,18,23
184,18,24
185,18,25
186,18,26
187,18,27
188,18,28
189,18,29
190,19,20
191,19,21
192,19,22
193,19,23
194,19,24
195,19,25
196,19,26
197,19,27
198,19,28
199,19,29
200,20,30
201,20,31
202,20,32
203,20,33
204,20,34
205,20,35
206,20,36
207,20,37
208,20,38
209,20,39
210,21,30
211,21,31
212,21,32
213,21,33
214,21,34
215,21,35
216,21,36
217,21,37
218,21,38
219,21,39
220,22,30
221,22,31
222,22,32
223,22,33
224,22,34
225,22,35
226,22,36
227,22,37
228,22,38
229,22,39
230,23,30
231,23,31
232,23,32
233,23,33
234,23,34
235,23,35
236,23,36
237,23,37
238,23,38
239,23,39
240,24,30
241,24,31
242,24,32
243,24,33
244,24,34
245,24,35
246,24,36
247,24,37
248,24,38
249,24,39
250,25,30
251,25,31
252,25,32
253,25,33
254,25,34
255,25,35
256,25,36
257,25,37
258,25,38
259,25,39
260,26,30
261,26,31
262,26,32
263,26,33
264,26,34
265,26,35
266,26,36
267,26,37
268,26,38
269,26,39
270,27,30
271,27,31
272,27,32
273,27,33
274,27,34
275,27,35
276,27,36
277,27,37
278,27,38
279,27,39
280,28,30
281,28,31
282,28,32
283,28,33
284,28,34
285,28,35
286,28,36
287,28,37
288,28,38
289,28,39
290,29,30
291,29,31
292,29,32
293,29,33
294,29,34
295,29,35
296,29,36
297,29,37
298,29,38
299,29,39
300,30,40
301,30,41
302,30,42
303,30,43
304,30,44
305,30,45
306,30,46
307,30,47
308,30,48
309,30,49
310,31,40
311,31,41
312,31,42
313,31,43
314,31,44
315,31,45
316,31,46
317,31,47
318,31,48
319,31,49
320,32,40
321,32,41
322,32,42
323,32,43
324,32,44
325,32,45
326,32,46
327,32,47
328,32,48
329,32,49
330,33,40
331,33,41
332,33,42
333,33,43
334,33,44
335,33,45
336,33,46
337,33,47
338,33,48
339,33,49
340,34,40
341,34,41
342,34,42
343,34,43
344,34,44
345,34,45
346,34,46
347,34,47
