,power
0,0.4511
1,0.4525
2,0.4488
3,0.4475
4,0.449
5,0.4497
6,0.4538
7,0.4485
8,0.4495
9,0.4549
10,0.4501
11,0.4511
12,0.4493
13,0.4545
14,0.4558
15,0.4526
16,0.4522
17,0.4478
18,0.4543
19,0.446
20,0.4508
21,0.4482
22,0.4419
23,0.4508
24,0.4471
25,0.4565
26,0.4522
27,0.4516
28,0.4402
29,0.448
30,0.4504
31,0.45
32,0.4525
33,0.4505
34,0.4546
35,0.4512
36,0.4604
37,0.4513
38,0.4479
39,0.4499
40,0.4565
41,0.4588
42,0.45
43,0.4559
44,0.4535
45,0.4541
46,0.4579
47,0.4545
48,0.4463
49,0.4542
50,0.4524
51,0.45
52,0.4489
53,0.4533
54,0.4487
55,0.4533
56,0.4532
57,0.4538
58,0.4538
59,0.454
60,0.453
61,0.455
62,0.4565
63,0.4505
64,0.4508
65,0.45
66,0.4502
67,0.448
68,0.4423
69,0.4526
70,0.446
71,0.4584
72,0.462
73,0.4546
74,0.4547
75,0.4495
76,0.4435
77,0.4501
78,0.4507
79,0.4443
80,0.4516
81,0.449
82,0.4532
83,0.4437
84,0.4419
85,0.4522
86,0.4461
87,0.4534
88,0.4569
89,0.4555
90,0.4529
91,0.453
92,0.4487
93,0.4474
94,0.4528
95,0.4547
96,0.4522
97,0.4436
98,0.4576
99,0.4485
