,edge_u,edge_v
0,0,15
1,0,20
2,0,45
3,0,87
4,0,78
5,0,69
6,0,18
7,0,22
8,0,38
9,0,86
10,0,32
11,0,68
12,0,13
13,0,79
14,0,55
15,0,6
16,0,90
17,0,66
18,0,10
19,0,21
20,0,35
21,0,34
22,0,3
23,0,26
24,0,44
25,0,65
26,0,53
27,0,70
28,0,84
29,0,29
30,0,71
31,0,57
32,0,97
33,0,85
34,0,89
35,0,91
36,0,25
37,0,58
38,0,50
39,0,14
40,0,5
41,0,93
42,0,33
43,0,51
44,0,49
45,0,16
46,0,4
47,0,59
48,0,46
49,1,5
50,1,12
51,1,60
52,1,66
53,1,42
54,1,61
55,1,87
56,1,93
57,1,40
58,1,76
59,1,45
60,1,73
61,1,47
62,1,34
63,1,41
64,1,68
65,1,79
66,1,13
67,1,19
68,1,94
69,1,69
70,1,30
71,1,38
72,1,83
73,1,7
74,1,92
75,1,43
76,1,10
77,1,54
78,1,8
79,1,96
80,1,33
81,1,90
82,1,80
83,1,22
84,1,99
85,1,31
86,1,55
87,1,89
88,1,37
89,1,36
90,1,48
91,1,21
92,1,9
93,1,27
94,1,65
95,2,59
96,2,22
97,2,18
98,2,91
99,2,93
100,2,88
101,2,68
102,2,6
103,2,89
104,2,37
105,2,55
106,2,39
107,2,83
108,2,65
109,2,17
110,2,33
111,2,35
112,2,66
113,2,24
114,2,20
115,2,36
116,2,63
117,2,57
118,2,31
119,2,44
120,2,30
121,2,47
122,2,14
123,2,7
124,2,10
125,2,54
126,2,76
127,2,78
128,2,27
129,2,50
130,2,60
131,2,70
132,2,86
133,2,23
134,2,75
135,2,19
136,2,85
137,2,74
138,2,51
139,2,58
140,3,38
141,3,48
142,3,92
143,3,16
144,3,20
145,3,26
146,3,27
147,3,62
148,3,18
149,3,80
150,3,40
151,3,7
152,3,82
153,3,17
154,3,32
155,3,4
156,3,14
157,3,90
158,3,76
159,3,37
160,3,45
161,3,59
162,3,50
163,3,69
164,3,60
165,3,5
166,3,41
167,3,78
168,3,91
169,3,86
170,3,98
171,3,33
172,3,12
173,3,85
174,3,58
175,3,49
176,3,67
177,3,75
178,3,23
179,3,68
180,3,53
181,3,84
182,4,76
183,4,38
184,4,27
185,4,90
186,4,62
187,4,10
188,4,92
189,4,89
190,4,37
191,4,73
192,4,24
193,4,72
194,4,48
195,4,29
196,4,39
197,4,22
198,4,36
199,4,84
200,4,55
201,4,21
202,4,28
203,4,46
204,4,70
205,4,71
