,power
0,0.2082
1,0.1693
2,0.1726
3,0.1526
4,0.1321
5,0.1335
6,0.1073
7,0.146
8,0.1684
9,0.145
10,0.185
11,0.1381
12,0.1156
13,0.1456
14,0.1849
15,0.1384
16,0.1589
17,0.1897
18,0.1583
19,0.2
20,0.1397
21,0.143
22,0.153
23,0.152
24,0.1696
25,0.1241
26,0.1584
27,0.1574
28,0.1104
29,0.1401
30,0.1745
31,0.1184
32,0.1454
33,0.1539
34,0.1346
35,0.1224
36,0.1405
37,0.1933
38,0.1301
39,0.1745
40,0.1286
41,0.1487
42,0.1664
43,0.123
44,0.1372
45,0.1607
46,0.1531
47,0.1179
48,0.1679
49,0.1036
50,0.1656
51,0.1545
52,0.1521
53,0.1901
54,0.1419
55,0.1647
56,0.1392
57,0.165
58,0.1466
59,0.1291
60,0.1365
61,0.1602
62,0.1497
63,0.1352
64,0.1491
65,0.2008
66,0.166
67,0.1626
68,0.1174
69,0.1904
70,0.1533
71,0.209
72,0.1538
73,0.1474
74,0.1521
75,0.1346
76,0.1419
77,0.1243
78,0.1193
79,0.1466
80,0.1825
81,0.1211
82,0.1676
83,0.1353
84,0.1519
85,0.1429
86,0.1712
87,0.1377
88,0.1445
89,0.1741
90,0.1025
91,0.1636
92,0.1643
93,0.1731
94,0.1464
95,0.1668
96,0.1437
97,0.2016
98,0.1516
99,0.1528
