,edge_u,edge_v
0,0,50
1,0,17
2,0,40
3,0,13
4,0,72
5,0,31
6,0,14
7,0,33
8,0,5
9,0,83
10,1,81
11,1,23
12,1,4
13,1,49
14,1,22
15,1,91
16,1,97
17,1,27
18,1,20
19,1,63
20,2,51
21,2,47
22,2,9
23,2,66
24,2,42
25,2,45
26,2,84
27,2,61
28,2,54
29,2,64
30,3,75
31,3,16
32,3,28
33,3,39
34,3,26
35,3,64
36,3,11
37,3,41
38,3,88
39,3,61
40,4,1
41,4,97
42,4,78
43,4,70
44,4,23
45,4,63
46,4,69
47,4,81
48,4,27
49,4,76
50,5,14
51,5,13
52,5,94
53,5,7
54,5,17
55,5,40
56,5,96
57,5,50
58,5,77
59,5,88
60,6,25
61,6,69
62,6,73
63,6,63
64,6,92
65,6,97
66,6,70
67,6,37
68,6,91
69,6,4
70,7,68
71,7,26
72,7,64
73,7,94
74,7,39
75,7,42
76,7,75
77,7,88
78,7,77
79,7,3
80,8,86
81,8,55
82,8,96
83,8,44
84,8,79
85,8,35
86,8,10
87,8,33
88,8,24
89,8,65
90,9,47
91,9,42
92,9,2
93,9,51
94,9,61
95,9,45
96,9,68
97,9,64
98,9,66
99,9,94
100,10,65
101,10,83
102,10,55
103,10,33
104,10,30
105,10,60
106,10,8
107,10,87
108,10,44
109,10,72
110,11,82
111,11,61
112,11,45
113,11,28
114,11,75
115,11,43
116,11,3
117,11,64
118,11,39
119,11,16
120,12,89
121,12,58
122,12,18
123,12,74
124,12,56
125,12,38
126,12,67
127,12,53
128,12,90
129,12,29
130,13,40
131,13,17
132,13,14
133,13,50
134,13,72
135,13,33
136,13,96
137,13,0
138,13,5
139,13,31
140,14,13
141,14,40
142,14,17
143,14,50
144,14,96
145,14,72
146,14,33
147,14,55
148,14,8
149,14,5
150,15,19
151,15,98
152,15,99
153,15,36
154,15,43
155,15,29
156,15,85
157,15,82
158,15,53
159,15,74
160,16,3
161,16,28
162,16,75
163,16,39
164,16,26
165,16,41
166,16,88
167,16,64
168,16,77
169,16,32
170,17,50
171,17,40
172,17,13
173,17,14
174,17,72
175,17,0
176,17,33
177,17,31
178,17,96
179,17,5
180,18,74
181,18,89
182,18,85
183,18,29
184,18,12
185,18,95
186,18,67
187,18,58
188,18,53
189,18,99
190,19,98
191,19,15
192,19,99
193,19,36
194,19,29
195,19,43
196,19,85
197,19,53
198,19,74
199,19,82
200,20,22
201,20,62
202,20,49
203,20,23
204,20,81
205,20,59
206,20,1
207,20,80
208,20,57
209,20,46
210,21,76
211,21,34
212,21,27
213,21,93
214,21,78
215,21,23
216,21,4
217,21,1
218,21,57
219,21,22
220,22,20
