,power
0,0.1341
1,0.1067
2,0.0742
3,0.1168
4,0.1024
5,0.107
6,0.1823
7,0.1356
8,0.2073
9,0.1024
10,0.1798
11,0.1402
12,0.1374
13,0.1092
14,0.1436
15,0.1593
16,0.0693
17,0.1481
18,0.0695
19,0.1215
20,0.1079
21,0.1224
22,0.1165
23,0.129
24,0.1135
25,0.1743
26,0.0994
27,0.1243
28,0.1298
29,0.1218
30,0.1369
31,0.1348
32,0.1208
33,0.1098
34,0.1058
35,0.1112
36,0.1346
37,0.1071
38,0.1543
39,0.1512
40,0.1
41,0.1456
42,0.1955
43,0.1642
44,0.0875
45,0.1706
46,0.0901
47,0.0947
48,0.1861
49,0.1074
50,0.1886
51,0.129
52,0.1592
53,0.1644
54,0.0868
55,0.1462
56,0.102
57,0.1308
58,0.1128
59,0.1634
60,0.1555
61,0.159
62,0.0484
63,0.1362
64,0.163
65,0.1347
66,0.0937
67,0.1105
68,0.0915
69,0.1074
70,0.1274
71,0.1171
72,0.1068
73,0.1187
74,0.1146
75,0.1182
76,0.0915
77,0.0892
78,0.1721
79,0.1216
80,0.1136
81,0.1658
82,0.0868
83,0.166
84,0.0946
85,0.1086
86,0.1635
87,0.0944
88,0.0998
89,0.1143
90,0.1442
91,0.1194
92,0.1037
93,0.1539
94,0.1045
95,0.1231
96,0.0838
97,0.1701
98,0.09
99,0.1083
