,edge_u,edge_v
0,0,32
1,0,82
2,0,98
3,0,60
4,0,20
5,0,1
6,0,85
7,0,28
8,0,18
9,0,26
10,1,60
11,1,28
12,1,91
13,1,81
14,1,80
15,1,7
16,1,87
17,1,63
18,1,82
19,1,38
20,2,73
21,2,72
22,2,30
23,2,64
24,2,16
25,2,27
26,2,56
27,2,24
28,2,49
29,2,50
30,3,15
31,3,54
32,3,51
33,3,52
34,3,41
35,3,47
36,3,5
37,3,61
38,3,44
39,3,14
40,4,12
41,4,65
42,4,71
43,4,19
44,4,90
45,4,40
46,4,9
47,4,11
48,4,94
49,4,56
50,5,59
51,5,41
52,5,13
53,5,79
54,5,54
55,5,51
56,5,8
57,5,3
58,5,44
59,5,47
60,6,48
61,6,31
62,6,21
63,6,39
64,6,34
65,6,77
66,6,36
67,6,42
68,6,63
69,6,7
70,7,63
71,7,42
72,7,81
73,7,77
74,7,91
75,7,80
76,7,31
77,7,38
78,7,28
79,7,1
80,8,59
81,8,79
82,8,35
83,8,13
84,8,75
85,8,45
86,8,5
87,8,11
88,8,9
89,8,65
90,9,11
91,9,65
92,9,19
93,9,4
94,9,64
95,9,71
96,9,12
97,9,56
98,9,75
99,9,40
100,10,53
101,10,46
102,10,26
103,10,97
104,10,74
105,10,70
106,10,25
107,10,84
108,10,87
109,10,37
110,11,9
111,11,65
112,11,19
113,11,4
114,11,75
115,11,71
116,11,64
117,11,12
118,11,35
119,11,56
120,12,4
121,12,90
122,12,40
123,12,71
124,12,19
125,12,65
126,12,94
127,12,9
128,12,56
129,12,29
130,13,79
131,13,59
132,13,5
133,13,41
134,13,11
135,13,8
136,13,9
137,13,27
138,13,16
139,13,54
140,14,55
141,14,99
142,14,96
143,14,93
144,14,47
145,14,61
146,14,36
147,14,15
148,14,21
149,14,52
150,15,52
151,15,47
152,15,3
153,15,51
154,15,54
155,15,61
156,15,14
157,15,41
158,15,99
159,15,44
160,16,27
161,16,2
162,16,30
163,16,73
164,16,48
165,16,72
166,16,64
167,16,39
168,16,56
169,16,34
170,17,57
171,17,76
172,17,69
173,17,23
174,17,37
175,17,93
176,17,46
177,17,53
178,17,55
179,17,25
180,18,98
181,18,20
182,18,67
183,18,85
184,18,89
185,18,58
