,power
0,0.0589
1,0.1533
2,0.183
3,0.0814
4,0.1518
5,0.0774
6,0.1531
7,0.166
8,0.0714
9,0.1333
10,0.1182
11,0.1182
12,0.1561
13,0.0609
14,0.1011
15,0.0752
16,0.1732
17,0.0553
18,0.0657
19,0.1831
20,0.0802
21,0.1522
22,0.0508
23,0.0746
24,0.2177
25,0.1787
26,0.1389
27,0.1288
28,0.1519
29,0.0893
30,0.1662
31,0.1312
32,0.0638
33,0.0679
34,0.1555
35,0.0695
36,0.153
37,0.156
38,0.1841
39,0.1453
40,0.1802
41,0.081
42,0.1224
43,0.0353
44,0.1476
45,0.0345
46,0.1469
47,0.1292
48,0.1771
49,0.2179
50,0.1649
51,0.0908
52,0.066
53,0.1458
54,0.0993
55,0.0933
56,0.2205
57,0.0345
58,0.1201
59,0.0613
60,0.1039
61,0.1622
62,0.0463
63,0.1443
64,0.1911
65,0.1379
66,0.1545
67,0.0611
68,0.0384
69,0.0727
70,0.1748
71,0.1188
72,0.2417
73,0.2057
74,0.0836
75,0.1015
76,0.0676
77,0.1713
78,0.1416
79,0.0593
80,0.1774
81,0.1455
82,0.069
83,0.1656
84,0.078
85,0.11
86,0.0917
87,0.1816
88,0.1835
89,0.0746
90,0.1085
91,0.1682
92,0.1157
93,0.0968
94,0.1942
95,0.0339
96,0.0895
97,0.1438
98,0.073
99,0.143
