,edge_u,edge_v
0,0,5
1,0,6
2,1,5
3,1,7
4,1,8
5,1,9
6,1,10
7,1,13
8,1,14
9,1,34
10,1,35
11,1,54
12,1,61
13,1,93
14,1,99
15,2,5
16,2,6
17,2,20
18,2,26
19,2,29
20,2,30
21,2,49
22,2,56
23,2,57
24,3,5
25,3,6
26,3,7
27,3,8
28,3,9
29,3,12
30,3,14
31,3,17
32,3,20
33,3,32
34,3,41
35,3,53
36,3,92
37,3,97
38,4,5
39,4,6
40,4,7
41,4,8
42,4,10
43,4,11
44,4,12
45,4,14
46,4,15
47,4,16
48,4,23
49,4,24
50,4,25
51,4,27
52,4,28
53,4,33
54,4,41
55,4,45
56,4,48
57,4,52
58,4,65
59,4,76
60,4,77
61,4,83
62,5,6
63,5,7
64,5,8
65,5,10
66,5,13
67,5,16
68,5,17
69,5,18
70,5,20
71,5,21
72,5,24
73,5,25
74,5,41
75,5,47
76,5,58
77,5,62
78,5,74
79,5,80
80,5,84
81,5,95
82,6,7
83,6,9
84,6,10
85,6,11
86,6,13
87,6,15
88,6,17
89,6,19
90,6,20
91,6,23
92,6,26
93,6,32
94,6,33
95,6,35
96,6,36
97,6,39
98,6,42
99,6,45
100,6,49
101,6,62
102,6,64
103,6,66
104,6,68
105,6,69
106,6,72
107,6,80
108,6,81
109,6,92
110,6,96
111,6,97
112,7,8
113,7,9
114,7,10
115,7,11
116,7,14
117,7,17
118,7,19
119,7,21
120,7,22
121,7,23
122,7,24
123,7,37
124,7,45
125,7,48
126,7,50
127,7,52
128,7,56
129,7,61
130,7,66
131,7,85
132,7,86
133,7,87
134,7,92
135,7,94
136,7,95
137,7,98
138,8,9
139,8,11
140,8,12
141,8,13
142,8,15
143,8,18
144,8,24
145,8,25
146,8,37
147,8,38
148,8,41
149,8,45
150,8,51
151,8,59
152,8,74
153,8,75
154,8,76
155,8,91
156,8,98
157,9,12
158,9,14
159,9,22
160,9,25
161,9,31
162,9,44
163,9,53
164,9,60
165,9,63
166,9,66
167,9,72
168,9,90
169,9,97
170,9,99
171,10,11
172,10,16
173,10,18
174,10,28
175,10,31
176,10,34
177,10,38
178,10,42
179,10,56
180,10,60
181,10,69
182,10,73
183,10,74
184,10,75
185,10,87
186,10,91
187,11,12
188,11,13
189,11,20
190,11,29
191,11,35
192,11,40
193,11,43
194,11,53
195,11,54
196,11,55
197,11,56
198,11,57
199,11,61
200,11,65
201,11,71
202,11,73
203,11,78
204,11,97
205,11,99
206,12,15
207,12,18
208,12,19
209,12,22
210,12,27
211,12,29
212,12,30
213,12,31
214,12,34
215,12,36
216,12,37
217,12,40
218,12,46
219,12,48
220,12,49
221,12,50
222,12,67
223,12,83
224,12,92
225,13,16
226,13,23
227,13,30
228,13,40
229,13,43
230,13,46
231,13,49
232,13,54
233,13,55
234,13,57
