,power
0,0.2459
1,0.1813
2,0.2016
3,0.0991
4,0.1729
5,0.2047
6,0.0901
7,0.1669
8,0.1682
9,0.0737
10,0.3389
11,0.3196
12,0.2562
13,0.3492
14,0.3592
15,0.2206
16,0.2391
17,0.2421
18,0.208
19,0.1939
20,0.2864
21,0.2443
22,0.1685
23,0.195
24,0.1927
25,0.1853
26,0.2226
27,0.1395
28,0.1793
29,0.141
30,0.1238
31,0.2084
32,0.1294
33,0.1395
34,0.1349
35,0.1218
36,0.1398
37,0.1522
38,0.1912
39,0.1391
40,0.1253
41,0.1311
42,0.1267
43,0.1445
44,0.1386
45,0.1284
46,0.1135
47,0.1417
48,0.1114
49,0.1013
50,0.1054
51,0.1375
52,0.0993
53,0.1041
54,0.1369
55,0.1103
56,0.1215
57,0.123
58,0.1357
59,0.11
60,0.107
61,0.1216
62,0.1184
63,0.1247
64,0.108
65,0.1174
66,0.1244
67,0.1051
68,0.134
69,0.0888
70,0.1109
71,0.1118
72,0.0953
73,0.1116
74,0.0954
75,0.1185
76,0.1006
77,0.1011
78,0.115
79,0.1122
80,0.0943
81,0.0968
82,0.1188
83,0.1179
84,0.0951
85,0.0928
86,0.1163
87,0.0935
88,0.0943
89,0.1006
90,0.0937
91,0.0914
92,0.102
93,0.0884
94,0.0921
95,0.098
96,0.0999
97,0.0926
98,0.0911
99,0.0922
