,edge_u,edge_v
0,0,1
1,0,99
2,0,2
3,0,98
4,0,97
5,0,4
6,0,96
7,0,5
8,0,95
9,0,21
10,1,2
11,1,3
12,1,99
13,1,4
14,1,98
15,1,5
16,1,6
17,2,3
18,2,4
19,2,99
20,2,6
21,2,98
22,2,97
23,2,76
24,2,52
25,2,58
26,3,4
27,3,5
28,3,6
29,3,99
30,3,98
31,3,39
32,3,75
33,3,35
34,3,57
35,4,5
36,4,6
37,4,7
38,4,8
39,4,9
40,4,99
41,5,6
42,5,7
43,5,8
44,5,10
45,5,14
46,5,92
47,6,7
48,6,8
49,6,9
50,6,10
51,6,11
52,7,9
53,7,10
54,7,11
55,7,12
56,7,97
57,7,86
58,8,9
59,8,10
60,8,11
61,8,12
62,8,13
63,9,10
64,9,11
65,9,12
66,9,13
67,9,14
68,10,11
69,10,12
70,10,13
71,10,14
72,10,15
73,11,12
74,11,13
75,11,14
76,11,15
77,11,16
78,12,13
79,12,14
80,12,15
81,12,16
82,12,17
83,13,15
84,13,16
85,13,17
86,13,18
87,13,75
88,14,15
89,14,17
90,14,19
91,14,67
92,14,64
93,15,16
94,15,17
95,15,18
96,15,19
97,15,20
98,16,17
99,16,18
100,16,19
101,16,20
102,16,21
103,17,18
104,17,19
105,17,20
106,17,21
107,17,22
108,18,19
109,18,20
110,18,21
111,18,22
112,18,23
113,18,52
114,19,20
115,19,21
116,19,22
117,19,23
118,19,24
119,20,22
120,20,23
121,20,24
122,20,25
123,20,52
124,21,22
125,21,23
126,21,24
127,21,25
128,21,26
129,21,89
130,22,23
131,22,24
132,22,25
133,22,26
134,22,27
135,23,24
136,23,25
137,23,27
138,23,28
139,23,41
140,24,25
141,24,26
142,24,27
143,24,28
144,24,29
145,24,57
146,25,26
147,25,27
148,25,28
149,25,29
150,25,30
151,26,27
152,26,28
153,26,29
154,26,30
155,26,31
156,27,28
157,27,29
158,27,30
159,27,31
160,27,32
161,27,63
162,28,29
163,28,30
164,28,31
165,28,33
166,28,53
167,28,59
168,28,83
169,29,30
170,29,31
171,29,33
172,29,34
173,29,89
174,30,31
175,30,32
176,30,33
177,30,34
178,30,35
179,30,96
180,31,32
181,31,33
182,31,34
183,31,35
184,31,36
185,31,85
186,32,33
187,32,35
188,32,36
189,32,37
190,32,61
191,33,34
192,33,35
193,33,36
194,33,37
195,33,78
196,34,35
197,34,36
198,34,37
199,34,38
200,34,39
201,35,36
202,35,37
203,35,40
204,35,60
205,36,37
206,36,38
207,36,39
208,36,40
209,36,53
210,37,38
211,37,39
212,37,40
213,37,41
214,37,42
215,38,39
216,38,40
217,38,41
218,38,42
219,38,43
220,39,42
221,39,43
222,39,44
223,39,52
224,40,41
225,40,42
226,40,43
227,40,44
228,40,45
229,40,74
230,41,42
231,41,43
232,41,44
233,41,45
234,41,46
235,42,43
236,42,44
237,42,45
238,42,46
239,42,47
240,43,44
241,43,45
242,43,46
243,43,47
244,43,48
245,43,62
246,44,45
247,44,46
248,44,47
249,44,48
250,44,50
251,45,47
252,45,48
253,45,49
254,45,50
255,45,63
256,46,47
257,46,48
258,46,49
259,46,50
260,46,51
261,47,48
262,47,49
263,47,50
264,47,51
265,47,52
266,48,49
267,48,50
268,48,51
269,48,52
270,48,53
271,49,50
272,49,51
273,49,52
274,49,54
275,49,75
276,50,51
277,50,52
278,50,53
279,50,54
280,50,55
281,51,52
282,51,53
283,51,54
284,51,55
285,51,74
286,52,54
287,52,55
288,52,57
289,53,54
290,53,55
291,53,57
292,53,58
293,53,80
294,53,91
295,54,55
296,54,56
297,54,57
298,54,58
299,54,59
300,55,56
301,55,57
302,55,58
303,55,59
304,55,60
305,56,57
306,56,58
307,56,59
308,56,60
309,56,61
310,56,91
311,57,58
312,57,59
313,57,61
314,57,63
315,58,59
316,58,60
317,58,61
318,58,63
319,58,90
320,59,60
321,59,61
322,59,62
323,59,63
324,60,61
325,60,62
326,60,63
327,60,64
328,60,65
329,61,62
330,61,63
331,61,64
332,61,65
333,61,66
334,62,64
335,62,65
336,62,66
337,62,67
338,63,64
339,63,65
340,63,66
341,63,67
342,64,65
343,64,66
344,64,67
345,64,68
346,64,69
347,64,73
348,65,66
349,65,67
350,65,68
351,65,69
352,65,70
353,66,67
354,66,68
355,66,69
356,66,70
357,66,71
358,67,68
359,67,69
360,67,71
361,67,72
362,68,69
363,68,70
364,68,71
365,68,72
366,68,99
367,68,80
368,69,70
369,69,71
370,69,72
371,69,73
372,69,74
373,70,71
374,70,72
375,70,73
376,70,74
377,70,75
378,71,72
379,71,73
380,71,74
381,71,75
382,71,76
383,72,74
384,72,75
385,72,76
386,72,77
387,72,97
388,73,74
389,73,75
390,73,76
391,73,78
392,74,75
393,74,77
394,74,79
395,74,89
396,74,88
397,75,76
398,75,77
399,75,78
400,75,79
401,75,80
402,76,77
403,76,78
404,76,79
405,76,80
406,76,81
407,76,96
408,77,78
409,77,79
410,77,80
411,77,81
412,77,87
413,78,79
414,78,80
415,78,81
416,78,82
417,78,83
418,79,80
419,79,81
420,79,82
421,79,83
422,79,84
423,80,82
424,80,83
425,80,84
426,80,86
427,81,82
428,81,83
429,81,84
430,81,85
431,81,86
