,power
0,0.1229
1,0.1129
2,0.1363
3,0.1397
4,0.125
5,0.1274
6,0.1281
7,0.1178
8,0.1062
9,0.1185
10,0.1247
11,0.1264
12,0.1216
13,0.1212
14,0.1296
15,0.1227
16,0.1134
17,0.1237
18,0.1281
19,0.1297
20,0.1241
21,0.1388
22,0.123
23,0.1251
24,0.1308
25,0.1245
26,0.1125
27,0.13
28,0.1454
29,0.1234
30,0.1362
31,0.129
32,0.104
33,0.1266
34,0.1166
35,0.1299
36,0.1259
37,0.1247
38,0.1082
39,0.1167
40,0.1264
41,0.1133
42,0.1229
43,0.1323
44,0.1249
45,0.1253
46,0.1133
47,0.121
48,0.1208
49,0.1167
50,0.1301
51,0.1276
52,0.1427
53,0.1338
54,0.1248
55,0.1257
56,0.1079
57,0.1373
58,0.1318
59,0.1309
60,0.1303
61,0.1358
62,0.1083
63,0.1343
64,0.1363
65,0.1291
66,0.1234
67,0.1208
68,0.1199
69,0.1244
70,0.1148
71,0.1259
72,0.1244
73,0.1068
74,0.1446
75,0.1467
76,0.1366
77,0.1183
78,0.1259
79,0.1235
80,0.129
81,0.1128
82,0.1154
83,0.1267
84,0.126
85,0.1049
86,0.1208
87,0.1363
88,0.1286
89,0.1423
90,0.138
91,0.1062
92,0.1394
93,0.1264
94,0.1182
95,0.1245
96,0.1209
97,0.1373
98,0.1294
99,0.1355
