,power
0,0.0507
1,0.0493
2,0.0525
3,0.0497
4,0.0495
5,0.0506
6,0.049
7,0.0528
8,0.05
9,0.0522
10,0.0491
11,0.0501
12,0.0489
13,0.0502
14,0.0514
15,0.0532
16,0.052
17,0.0492
18,0.0484
19,0.0507
20,0.0522
21,0.051
22,0.0474
23,0.0516
24,0.0489
25,0.0496
26,0.0513
27,0.0508
28,0.0508
29,0.0523
30,0.0508
31,0.0507
32,0.0523
33,0.0497
34,0.0474
35,0.0545
36,0.0519
37,0.0523
38,0.0487
39,0.0534
40,0.0502
41,0.0516
42,0.048
43,0.0492
44,0.0511
45,0.0534
46,0.0507
47,0.0473
48,0.0532
49,0.0513
50,0.1004
51,0.1003
52,0.0984
53,0.1055
54,0.0979
55,0.1
56,0.0993
57,0.0985
58,0.0997
59,0.1012
60,0.1019
61,0.1019
62,0.0952
63,0.0938
64,0.1036
65,0.0974
66,0.0991
67,0.1006
68,0.0996
69,0.1009
70,0.0994
71,0.1006
72,0.1028
73,0.0973
74,0.1007
75,0.0985
76,0.1004
77,0.0933
78,0.0982
79,0.1008
80,0.0994
81,0.094
82,0.0972
83,0.0962
84,0.1062
85,0.0974
86,0.097
87,0.1011
88,0.0981
89,0.0987
90,0.1015
91,0.0986
92,0.1018
93,0.0989
94,0.0982
95,0.1027
96,0.101
97,0.1043
98,0.1028
99,0.098
