,power
0,0.0128
1,0.0137
2,0.0131
3,0.0117
4,0.0126
5,0.0138
6,0.0117
7,0.014
8,0.0127
9,0.0145
10,0.0137
11,0.0122
12,0.0125
13,0.0119
14,0.0136
15,0.0124
16,0.0132
17,0.0119
18,0.0126
19,0.013
20,0.0131
21,0.0132
22,0.0144
23,0.0134
24,0.0132
25,0.0129
26,0.0132
27,0.0117
28,0.0139
29,0.0132
30,0.0135
31,0.0125
32,0.0142
33,0.0127
34,0.0134
35,0.0146
36,0.013
37,0.0133
38,0.014
39,0.0133
40,0.0139
41,0.0118
42,0.014
43,0.0135
44,0.0117
45,0.0136
46,0.0144
47,0.0123
48,0.0122
49,0.0137
50,0.0138
51,0.0129
52,0.014
53,0.0119
54,0.0136
55,0.0115
56,0.0125
57,0.0129
58,0.013
59,0.0139
60,0.0123
61,0.0133
62,0.0118
63,0.0124
64,0.0133
65,0.0117
66,0.0127
67,0.0124
68,0.0136
69,0.0129
70,0.0151
71,0.0122
72,0.0123
73,0.0138
74,0.0124
75,0.0131
76,0.0144
77,0.013
78,0.012
79,0.013
80,0.0133
81,0.056
82,0.0487
83,0.0515
84,0.0531
85,0.0508
86,0.0532
87,0.0539
88,0.0534
89,0.0504
90,0.0513
91,0.0528
92,0.0537
93,0.0488
94,0.051
95,0.0508
96,0.0527
97,0.0491
98,0.0509
99,0.0509
100,0.0532
101,0.0504
102,0.0524
103,0.0497
104,0.051
105,0.0524
106,0.0526
107,0.0504
108,0.1526
109,0.1444
110,0.1501
111,0.1561
112,0.151
113,0.1535
114,0.156
115,0.1522
116,0.1516
117,0.3177
118,0.3168
119,0.3222
120,0.3509
