,power
0,0.055
1,0.0533
2,0.0527
3,0.0515
4,0.0508
5,0.0535
6,0.0547
7,0.0542
8,0.0504
9,0.0518
10,0.0519
11,0.0537
12,0.0547
13,0.0539
14,0.0526
15,0.0506
16,0.0541
17,0.0534
18,0.0552
19,0.0527
20,0.1023
21,0.1037
22,0.0992
23,0.099
24,0.1024
25,0.0989
26,0.1003
27,0.1036
28,0.0991
29,0.1022
30,0.0964
31,0.0971
32,0.0952
33,0.0973
34,0.1015
35,0.0953
36,0.101
37,0.096
38,0.1009
39,0.1015
40,0.1463
41,0.1363
42,0.1392
43,0.1401
44,0.1429
45,0.1408
46,0.1426
47,0.1449
48,0.1425
49,0.1398
50,0.1417
51,0.1374
52,0.1369
53,0.1441
54,0.1468
55,0.1405
56,0.1424
57,0.1407
58,0.1418
59,0.1482
